rule_id	metric	condition	severity	claim_constraint	action	authority	scope	source
ASM_REPEAT_001	BUSCO_vs_LAI	BUSCO_C>=98 and LAI<10	WARN	Gene-space completeness does not imply repeat-space completeness	report the two evidence axes separately	method_paper	plant_genome	Ou et al. 2018 LAI
ASM_N50_001	N50	claim mixes contig_N50 and scaffold_N50 or a subject lacks selected type	BLOCK	Do not compare continuity values of different types	select protocol.n50_type and require it for every subject	official_doc	general_genomics	QUAST docs
ASM_N50_002	N50	scaffold_N50 lacks misjoin validation	WARN	Scaffolding can inflate N50 through false joins	require contact/read structural validation	project_history	general_genomics	playbook-chromosome-scaffolding-cphasing
KMERIA_001	KMERIA_assoc	pilot_only or full_count_incomplete	BLOCK	Do not make population association claims from pilot/partial counts	mark exploratory until full route completes	project_history	quinoa_project	HANDOFF k-mer GWAS records
KMERIA_002	KMERIA_kmer_hit	hit overlaps SD or centromere	WARN	Causal phrasing is unsupported without unique mappability evidence	require unique mappability evidence or exclude region	project_history	general_genomics	playbook-segmental-duplications / playbook-centromere-chipseq
SV_001	SV_callers	high-confidence claim lacks read and assembly evidence axes	BLOCK	Do not call SV high-confidence without orthogonal read+assembly support	provide at least one caller/evidence source on each axis	project_history	general_genomics	playbook-high-confidence-sv-multicaller
RNA_DE_001	RNA_DE_design	sample metadata/design/contrast/strandedness not explicit	BLOCK	Do not infer a DE comparison from filenames or prose	provide validated sample metadata, design formula, contrast, and strandedness	bioflow_contract	transcriptomics	playbook-rnaseq-differential-expression.md
RNA_DE_002	RNA_DE_replication	contrasted group has <2 biological replicates or exactly 2	BLOCK/WARN	No population inference without replication; n=2 remains fragile	block n<2; warn n=2; prefer >=3 biological replicates	statistical_design	transcriptomics	DESeq2 vignette / playbook-rnaseq-differential-expression.md
RNA_DE_003	RNA_DE_counts	DE input is not raw integer counts or strandedness invalid	BLOCK	TPM/FPKM and ambiguous counting semantics are not DESeq2 count input	use raw integer gene counts with validated strandedness	method_doc	transcriptomics	DESeq2 / featureCounts documentation
RNA_DE_004	RNA_DE_confounding	batch and condition fully confounded or not explicitly cleared	BLOCK	The requested condition effect is not identifiable	redesign/obtain balanced samples or limit claim scope	statistical_design	transcriptomics	DESeq2 design guidance
RNA_DE_005	RNA_DE_statistics	FDR/effect/shrinkage/QC evidence or explicit files missing	BLOCK	Do not support DE without multiple-testing, effect-size, and sample/count QC provenance	provide BH-FDR/effect/shrinkage and readable metadata/count/QC paths	bioflow_contract	transcriptomics	playbook-rnaseq-differential-expression.md
VARIANT_001	Population_variants	reference/ploidy/caller/calling-mode/multiallelic provenance missing	BLOCK	Do not validate a callset without reference and ploidy assumptions	record reference checksum, ploidy, caller/version, mode, and multiallelic policy	bioflow_contract	population_genomics	playbook-population-variants-gwas.md
VARIANT_002	Population_variants	sample IDs do not explicitly match	BLOCK	Do not combine BAM/VCF/manifest samples with unresolved identities	reconcile canonical sample IDs and document exclusions	bioflow_contract	population_genomics	playbook-population-variants-gwas.md
VARIANT_003	Population_variants	normalization or filter provenance incomplete	BLOCK	Do not use an unnormalized or irreproducibly filtered callset	record left alignment, splitting tool/version, and thresholds	method_doc	population_genomics	bcftools/GATK documentation
VARIANT_004	Population_variants	VCF/reference/sample manifest/index path missing or unreadable	BLOCK	A population callset claim needs accessible indexed evidence	provide readable explicit paths; never infer by directory scan	bioflow_contract	population_genomics	playbook-population-variants-gwas.md
GWAS_001	GWAS_samples	phenotype and genotype sample IDs do not explicitly match	BLOCK	Do not run association with unresolved sample identities	reconcile samples and document exclusions	statistical_design	association_genetics	playbook-population-variants-gwas.md
GWAS_002	GWAS_model	ploidy/genetic model incompatible with selected engine	BLOCK	Diploid/disomic engines cannot silently analyze dosage/non-disomic genotypes	validate D assumptions or select and validate a P-route engine	statistical_design	polyploid_gwas	playbook-population-variants-gwas.md
GWAS_003	GWAS_structure	QC thresholds/PCA/kinship/covariates or readable evidence missing	BLOCK	Do not support GWAS without genotype QC and population-structure control	provide explicit thresholds, PCA, kinship, covariates, and input paths	bioflow_contract	association_genetics	playbook-population-variants-gwas.md
GWAS_004	GWAS_inference	multiple-testing/QQ/effect-allele evidence missing	BLOCK	Do not report significant hits without calibrated inference and allele direction	record correction threshold, QQ evidence, and effect allele	statistical_design	association_genetics	playbook-population-variants-gwas.md
